D,cnt_w,keep_ratio,prune_pct,spatial_mean_accuracy,energy_proxy_d_keep,slice_luts_ooc,area_proxy_vs_d1024
256,3,0.125,87.5,0.5948403961743453,0.0312,7331,0.2563
256,3,0.25,75.0,0.5948403961743453,0.0625,7331,0.2563
256,3,0.5,50.0,0.5948403961743453,0.125,7331,0.2563
256,3,1.0,0.0,0.5948403961743453,0.25,7331,0.2563
256,4,0.125,87.5,0.6925920742755691,0.0312,7331,0.2563
256,4,0.25,75.0,0.6975587036148749,0.0625,7331,0.2563
256,4,0.5,50.0,0.6975587036148749,0.125,7331,0.2563
256,4,1.0,0.0,0.6975587036148749,0.25,7331,0.2563
256,5,0.125,87.5,0.6925920742755691,0.0312,7331,0.2563
256,5,0.25,75.0,0.6975587036148749,0.0625,7331,0.2563
256,5,0.5,50.0,0.6975587036148749,0.125,7331,0.2563
256,5,1.0,0.0,0.6975587036148749,0.25,7331,0.2563
256,6,0.125,87.5,0.6925920742755691,0.0312,7331,0.2563
256,6,0.25,75.0,0.6975587036148749,0.0625,7331,0.2563
256,6,0.5,50.0,0.6975587036148749,0.125,7331,0.2563
256,6,1.0,0.0,0.6975587036148749,0.25,7331,0.2563
512,3,0.125,87.5,0.5948403961743453,0.0625,14422,0.5043
512,3,0.25,75.0,0.5948403961743453,0.125,14422,0.5043
512,3,0.5,50.0,0.5948403961743453,0.25,14422,0.5043
512,3,1.0,0.0,0.5948403961743453,0.5,14422,0.5043
512,4,0.125,87.5,0.7235300575338474,0.0625,14422,0.5043
512,4,0.25,75.0,0.7235300575338474,0.125,14422,0.5043
512,4,0.5,50.0,0.7235300575338474,0.25,14422,0.5043
512,4,1.0,0.0,0.7235300575338474,0.5,14422,0.5043
512,5,0.125,87.5,0.7235300575338474,0.0625,14422,0.5043
512,5,0.25,75.0,0.7235300575338474,0.125,14422,0.5043
512,5,0.5,50.0,0.7235300575338474,0.25,14422,0.5043
512,5,1.0,0.0,0.7235300575338474,0.5,14422,0.5043
512,6,0.125,87.5,0.7235300575338474,0.0625,14422,0.5043
512,6,0.25,75.0,0.7235300575338474,0.125,14422,0.5043
512,6,0.5,50.0,0.7235300575338474,0.25,14422,0.5043
512,6,1.0,0.0,0.7235300575338474,0.5,14422,0.5043
1024,3,0.125,87.5,0.5948403961743453,0.125,28600,1.0
1024,3,0.25,75.0,0.5948403961743453,0.25,28600,1.0
1024,3,0.5,50.0,0.5948403961743453,0.5,28600,1.0
1024,3,1.0,0.0,0.5948403961743453,1.0,28600,1.0
1024,4,0.125,87.5,0.7264893417111118,0.125,28600,1.0
1024,4,0.25,75.0,0.7264893417111118,0.25,28600,1.0
1024,4,0.5,50.0,0.7264893417111118,0.5,28600,1.0
1024,4,1.0,0.0,0.7264893417111118,1.0,28600,1.0
1024,5,0.125,87.5,0.7264893417111118,0.125,28600,1.0
1024,5,0.25,75.0,0.7264893417111118,0.25,28600,1.0
1024,5,0.5,50.0,0.7264893417111118,0.5,28600,1.0
1024,5,1.0,0.0,0.7264893417111118,1.0,28600,1.0
1024,6,0.125,87.5,0.7264893417111118,0.125,28600,1.0
1024,6,0.25,75.0,0.7264893417111118,0.25,28600,1.0
1024,6,0.5,50.0,0.7264893417111118,0.5,28600,1.0
1024,6,1.0,0.0,0.7264893417111118,1.0,28600,1.0
2048,3,0.125,87.5,0.5948403961743453,0.25,59261,2.0721
2048,3,0.25,75.0,0.5948403961743453,0.5,59261,2.0721
2048,3,0.5,50.0,0.5948403961743453,1.0,59261,2.0721
2048,3,1.0,0.0,0.5948403961743453,2.0,59261,2.0721
2048,4,0.125,87.5,0.7611522551646763,0.25,59261,2.0721
2048,4,0.25,75.0,0.7611522551646763,0.5,59261,2.0721
2048,4,0.5,50.0,0.7611522551646763,1.0,59261,2.0721
2048,4,1.0,0.0,0.7611522551646763,2.0,59261,2.0721
2048,5,0.125,87.5,0.7611522551646763,0.25,59261,2.0721
2048,5,0.25,75.0,0.7611522551646763,0.5,59261,2.0721
2048,5,0.5,50.0,0.7611522551646763,1.0,59261,2.0721
2048,5,1.0,0.0,0.7611522551646763,2.0,59261,2.0721
2048,6,0.125,87.5,0.7611522551646763,0.25,59261,2.0721
2048,6,0.25,75.0,0.7611522551646763,0.5,59261,2.0721
2048,6,0.5,50.0,0.7611522551646763,1.0,59261,2.0721
2048,6,1.0,0.0,0.7611522551646763,2.0,59261,2.0721
